AGE,EMPLOY,FNSTG,MAX_EDU,EDU_NUM,MARITAL,OCC,REL_STAT,RACE,SEX
39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male
50, Self-emp-not-inc, 83311, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male
38, Private, 215646, HS-grad, 9, Divorced, Handlers-cleaners, Not-in-family, White, Male
53, Private, 234721, 11th, 7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male
28, Private, 338409, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, Black, Female
37, Private, 284582, Masters, 14, Married-civ-spouse, Exec-managerial, Wife, White, Female
49, Private, 160187, 9th, 5, Married-spouse-absent, Other-service, Not-in-family, Black, Female
52, Self-emp-not-inc, 209642, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male
31, Private, 45781, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female
42, Private, 159449, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male
37, Private, 280464, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, Black, Male
